Unnamed: 0,Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
1288,Kit 4 Bermuda Short Masculino Dry Fit Academia Plus Size,3.5,6.0,10.0,daze modas,poliéster,Masculino,primavera/verão,"Comprei p meu filho,ainda não lavei ,acabei de receber,as primeiras impressões são ótimas, qualidade excelente.",Costura muito fraca no bolso rasgou no primeiro dia de uso.,,+25,159.91,0.44444444444444453,0.0005509034817100045,0.0819672131147541,0.25413526141673204,216,122,7,25.0,0.004092769440654843,0.11732605729877217
1289,Bermuda Masculina Adulto Em Brim E Sarja Colorida Barata,4.7,341.0,,bamborra,algodão,Masculino,não definido,"Produto de ótima qualidade,ainda não lavei ,mas creio que não vai desbotar, é muito bonita e veste bem,a cor é maravilhosa,um vermelho bem vivo,meu marido amou,eu indico.","Produto muito bom. Tecido de qualidade, caimento muito bom e confortável. Surpreendido.","Bermuda linda, tecido de qualidade, veste super bem, o tamanho veio perfeito, é só seguir a tabela de medidas.",+1000,,0.888888888888889,0.0374614367562803,,,103,25,1,1000.0,0.0031832651205093224,0.17644383810823103
1290,Short Saia Jeans Plus Size Feminino Cintura Alta Com Lycra,4.9,77.0,11.0,stillger jeans,algodão,Feminino,primavera/verão,Perfeito demais!!!.,"Ele é lindo igual da foto,só tem um problema as medidas dele é bem pequena eu uso 48 e pelas medidas da tabela pedi o 52 e ficou perfeito.","Minhas expectativas foram preenchidas, amei. Seguir a dica de pegar um número maior do aue eu visto, fiquei com receio de ficar grande um saco, maia ficou maravilhoso, material ótimo 😍, igual a foto, veste muito bem,.",+100,72.88,0.9629629629629631,0.008373732921992068,0.09836065573770492,0.10572627127314893,738,25,7,100.0,0.015461573442473852,0.17644383810823103
1291,Body Bebê Vovô Vovó Preparem O Colinho Pois Estou A Caminho,4.7,89.0,14.0,fantastic baby fashion,,Bebês,primavera/verão,,Perfeitos 😍.,Lindo.,+1000,25.27,0.888888888888889,0.009695901278096077,0.14754098360655737,0.02453872651000989,291,178,7,1000.0,0.0036380172805820826,
1293,Kit 13 Pçs Maternidade Enxoval Roupas Bebe Menino Ou Menina,,,,tilele baby,,Bebês,não definido,,,,+5,105.9,,,,0.16203403703830022,762,178,1,5.0,0.00045475216007276033,
1294,Kit 3 Calça Legging Suplex Feminina Levanta Bumbum Ginastica,4.4,111.0,,m d f,suplex,Feminino,não definido,Eu gostei desses produtos são de ótima qualidade 😃.,As costuras são um pouco fracas. Fui tirar a etiqueta e a costura rompeu. Tive que costurar à mão. O material é razoável.,Tecido bem transparente.,+500,89.9,0.777777777777778,0.012119876597620097,,0.13474983800006823,466,151,1,,0.0009095043201455207,0.010459299681673489
1295,Bermuda adidas Masculina Chelsea 3 Listras,,,23.0,adidas,reciclado,Masculino,outono/inverno,,,,Nenhum,229.99,,,0.29508196721311475,0.37364005320418814,13,130,3,0.0,0.010914051841746248,0.0018190086402910413
1296,Calça De Ração Oxford Umbanda Candomblé,4.2,72.0,,"meu caboclo,calça de ração, calça branca, calçca umbanda, calça açogueiro, calça de uniforme","tecido poliéster,calça de ração, calça branca, calçca umbanda, calça açogueiro, calça de uniforme",Masculino,primavera/verão,Tudo ok.,"Ficou muito pequeno, olha que segui a numeração que estava na descrição.",Produto de acordo com o que foi anunciado.,+500,35.9,0.7037037037037038,0.007822829440282062,,0.042665666246035266,511,160,7,,0.00045475216007276033,0.00045475216007276033
1297,Camiseta Masculina Básica Atacado Algodão Penteado 5 Peças,4.8,21.0,19.0,ak art lover,camiseta básica de algodão masculina,Masculino,não definido,Amamos. Super indico. Fomos bem atendidos. Veio mt bem feita.,Atendeu perfeitamente as minhas expectativas.,Excelente.,+50,129.12,0.9259259259259259,0.0022036139268400176,0.22950819672131148,0.20163023089253437,18,52,1,50.0,0.0018190086402910413,0.00045475216007276033
1298,Shorts Feminino Cintura Alta Paetê Curto Bolso Lantejoula,4.5,16.0,9.0,roupa tik tok blogueirinha adulta,roupa para gordinha pluss 44 ao 52,Feminino,primavera/verão,"Gostei muito, mas ficou muito grande e o zíper quebrou assim que coloquei! 😢.","Ótimo, confortável não penixa super indico 👏.",,+100,73.24,0.8148148148148148,0.0016527104451300133,0.06557377049180327,0.10634016575150916,668,135,7,100.0,0.0018190086402910413,0.001364256480218281
